# PTCL Gene List for ctDNA / Shallow WGS Analysis
# Thesis: Shallow WGS of ctDNA in T-Cell Lymphoma — Copy Number Variations and Fragmentomics
# Entrez Gene IDs: OncoKB Cancer Gene List (oncokb.org, v05/29/2026); supplemented from NCBI Gene
# MSK MTNN 2022: cBioPortal (cbioportal.org/study/summary?id=mtnn_msk_2022), n=132 PTCL patients
# Total genes: 64 | Generated: June 2025
#
Gene_Symbol	Entrez_Gene_ID	Gene_Name	Functional_Category	Data_Status	Data_Source	Mutation_Frequency_MSK_MTNN_2022	CNA_Type	CNA_Cytoband	PTCL_Subtype	Alteration_Type	Pathway_Function	Biological_Significance	Literature_Reference	Entrez_ID_Source
BCOR	54880	BCL6 corepressor	Epigenetic regulator	Identified from MSK MTNN 2022 - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.0% (4/132)	HOMDEL	Xp11.4	PTCL-NOS	Loss-of-function mutation	PRC1.1 complex	BCL6 co-repressor; haematologic malignancy driver	—	OncoKB Cancer Gene List v05/29/2026
YTHDF2	51441	YTH N6-methyladenosine RNA binding protein F2	Epigenetic regulator	Not detected in MSK MTNN 2022 dataset	Literature only (expected freq <3%; below MutSig threshold n=132)	—	—	—	PTCL-NOS	Overexpression	m6A RNA methylation	Novel m6A reader; affects mRNA stability; below detection threshold	Heavican et al. Leukemia 2019;33(12):2867	NCBI Gene database
RHOA	387	Ras homolog family member A	TCR / GTPase signalling	Confirmed - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	30.5% (40/131)	HOMDEL	3p21.31	AITL (~70%); PTCL-NOS	Gain-of-function missense (G17V)	GTPase / TCR downstream	G17V dominant-negative; co-driver with TET2; hotspot detectable in ctDNA	Palomero et al. Nat Genet 2014;46(2):166; Sakata-Yanagimoto et al. Nat Genet 2014;46(2):171; Wang et al. Cell Rep Med 2024;5(2):101416	OncoKB Cancer Gene List v05/29/2026
VAV1	7409	Vav guanine nucleotide exchange factor 1	TCR / GTPase signalling	Confirmed - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	4.9% (5/102)	AMP	19p13.3	PTCL-NOS; AITL	Activating mutation / fusion	GEF for Rho GTPases / TCR	TCR proximal; VAV1 fusions constitutively active	Abate et al. Proc Natl Acad Sci USA 2017;114(4):764; Kakiuchi et al. Nat Genet 2015;47(6):583	OncoKB Cancer Gene List v05/29/2026
CD28	940	CD28 molecule	TCR / co-stimulation	Confirmed - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.0% (2/102)	AMP	2q33.2	AITL; PTCL-NOS	Gain-of-function mutation / fusion	PI3K-AKT / T-cell co-stimulation	D124V/T195P activating mutations; CD28-CTLA4 fusions	Rohr et al. Leukemia 2016;30(5):1062; Wang et al. Cell Rep Med 2024;5(2):101416	OncoKB Cancer Gene List v05/29/2026
PLCG1	5335	Phospholipase C gamma 1	TCR signalling	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	7.8% (8/102)	—	—	CTCL; ATLL; PTCL-NOS; AITL	Gain-of-function mutation	DAG/IP3 signalling / TCR	Pan-PTCL shared driver	Kiel et al. Proc Natl Acad Sci USA 2014;111(22):8131; Yoshida et al. Cancers 2021;13(8):1801	OncoKB Cancer Gene List v05/29/2026
CARD11	84433	Caspase recruitment domain family member 11	TCR / NF-kB	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/131)	—	—	PTCL-NOS; ATLL; AITL	Gain-of-function (coiled-coil domain)	NF-kB activation	Coiled-coil mutations constitutively activate NF-kB	Yoshida et al. Cancers 2021;13(8):1801; Front Oncol 2023;13:1202964	OncoKB Cancer Gene List v05/29/2026
FYN	2534	FYN proto-oncogene Src family tyrosine kinase	TCR / kinase signalling	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	0.8% (1/131)	—	—	AITL; PTCL-NOS	Gain-of-function missense	Src-family kinase / TCR	Y531H removes auto-inhibitory phosphorylation	Palomero et al. Nat Genet 2014;46(2):166	OncoKB Cancer Gene List v05/29/2026
PDCD1	5133	Programmed cell death 1 (PD-1)	TCR / immune checkpoint	Confirmed - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	0.8% mut	HOMDEL	2q37.3	AITL; PTCL-NOS	Mutation / deletion	TFH identity / T-cell exhaustion	TFH marker; novel recurrent driver in PTCL-NOS	Heavican et al. Leukemia 2019;33(12):2867	OncoKB Cancer Gene List v05/29/2026
LCK	3932	LCK proto-oncogene Src family tyrosine kinase	TCR signalling	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.0% (2/102)	—	—	PTCL-NOS	Mutation	TCR proximal kinase	CD4/CD8-associated kinase; critical for TCR initiation	—	OncoKB Cancer Gene List v05/29/2026
SYK	6850	Spleen associated tyrosine kinase	TCR signalling	Identified from MSK MTNN 2022 - CNA Gene	cBioPortal: CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	—	HOMDEL	9q22.2	PTCL-NOS; AITL	Deletion / loss-of-function	TCR proximal signalling	Targetable by fostamatinib	—	OncoKB Cancer Gene List v05/29/2026
STAT3	6774	Signal transducer and activator of transcription 3	JAK-STAT	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	7.6% (10/131)	—	—	ALK- ALCL (38%); AITL (13%); PTCL-NOS (17%)	Gain-of-function (SH2 domain)	JAK-STAT transcription	Drives BCL2/BCL-XL and PD-L1; targetable by ruxolitinib	Andersson et al. Blood 2014; Heavican et al. Leukemia 2019;33(12):2867	OncoKB Cancer Gene List v05/29/2026
STAT5B	6777	Signal transducer and activator of transcription 5B	JAK-STAT	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.8% (5/131)	—	—	ENKTL; gamma-delta lymphomas	Gain-of-function (N642H hotspot)	JAK-STAT transcription	N642H hotspot; IL-2/IL-15 survival signalling	Kucuk et al. Nat Commun 2015;6:6025	OncoKB Cancer Gene List v05/29/2026
JAK1	3716	Janus kinase 1	JAK-STAT	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.8% (5/132)	—	—	ALK- ALCL (~15%); PTCL-NOS	Gain-of-function mutation	JAK kinase	Co-operates with STAT3; targetable by ruxolitinib	Heavican et al. Leukemia 2019;33(12):2867; Sim et al. J Clin Oncol 2019	OncoKB Cancer Gene List v05/29/2026
JAK3	3718	Janus kinase 3	JAK-STAT	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.0% (4/132)	—	—	CTCL; PTCL-NOS	Gain-of-function mutation	JAK kinase / gamma-chain cytokine signalling	Targetable by JAK3-specific inhibitors	Kiel et al. Proc Natl Acad Sci USA 2014;111(22):8131; Heavican et al. Leukemia 2019;33(12):2867	OncoKB Cancer Gene List v05/29/2026
SOCS1	8651	Suppressor of cytokine signaling 1	JAK-STAT	Identified from MSK MTNN 2022 - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.1% (4/131)	HOMDEL	16p13.13	PTCL-NOS	Loss-of-function mutation / deletion	JAK-STAT negative regulation	Loss leads to constitutive STAT signalling	—	OncoKB Cancer Gene List v05/29/2026
TP53	7157	Tumor protein p53	Tumour suppressor	Confirmed - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	15.9% (21/132)	HOMDEL	17p13.1	PTCL-NOS GATA3-subtype; ENKTL; ATLL	Loss-of-function mutation / 17p deletion	DNA damage checkpoint	17p deletion detectable by sWGS; chemoresistance marker	Heavican et al. Blood 2019;133(15):1664; Wang et al. Cell Rep Med 2024;5(2):101416; Yoshida et al. Cancers 2021;13(8):1801	OncoKB Cancer Gene List v05/29/2026
CDKN2A	1029	Cyclin dependent kinase inhibitor 2A	Tumour suppressor	Confirmed - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/131)	HOMDEL	9p21.3	PTCL-NOS (37%); ALK- ALCL; ATLL	Homozygous deletion / mutation	Cell cycle checkpoint (CDK4/6 inhibitor)	p16INK4a and p14ARF; most frequent structural CNA in PTCL-NOS; priority sWGS target	Scarfo et al. Blood 2019;134(Suppl):619; Heavican et al. Blood 2019;133(15):1664	OncoKB Cancer Gene List v05/29/2026
PTEN	5728	Phosphatase and tensin homolog	Tumour suppressor	Confirmed - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	0.8% (1/132)	HOMDEL	10q23.31	PTCL-NOS (20%); ALK- ALCL	Deletion / loss-of-function	PI3K-AKT pathway suppressor	10q23 deletion; co-deleted with CDKN2A; activates PI3K-AKT-mTOR	Scarfo et al. Blood 2019;134(Suppl):619; Heavican et al. Blood 2019;133(15):1664	OncoKB Cancer Gene List v05/29/2026
PRDM1	639	PR/SET domain 1 (BLIMP1)	Tumour suppressor	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	1.5% (2/131)	—	—	PTCL-NOS GATA3-subtype; ALCL; ATLL	Loss-of-function / 6q21 deletion	Transcriptional repression	BLIMP1; loss promotes T-cell proliferation; 6q21 detectable by sWGS	Heavican et al. Blood 2019;133(15):1664	OncoKB Cancer Gene List v05/29/2026
FOXO3	2309	Forkhead box O3	Tumour suppressor	Not detected in MSK MTNN 2022 dataset	Literature only (Western ATLL cohort; Haematologica 2024; absent if no ATLL patients)	—	—	—	ATLL (Western cohorts)	Deletion / loss-of-function	PI3K-AKT / FOXO signalling	Emerging tumour suppressor in Western ATLL	Haematologica 2024;109(12) doi:10.3324/haematol.2024.285233	OncoKB Cancer Gene List v05/29/2026
ATM	472	ATM serine/threonine kinase	DNA damage response	Identified from MSK MTNN 2022 - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/131)	HOMDEL	11q22.3	PTCL-NOS	Loss-of-function mutation / deletion	DNA damage checkpoint	Checkpoint kinase; LOF contributes to genomic instability; 11q deletion	—	OncoKB Cancer Gene List v05/29/2026
TERT	7015	Telomerase reverse transcriptase	Telomere maintenance	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/131)	—	—	PTCL (multiple)	Promoter mutation	Telomere / replicative immortality	Promoter mutations drive replicative immortality	—	OncoKB Cancer Gene List v05/29/2026
POT1	25913	Protection of telomeres 1	Telomere maintenance	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	5.9% (6/102)	—	—	PTCL (multiple)	Loss-of-function mutation	Telomere protection	LOF leads to telomere instability and chromosomal rearrangements	—	OncoKB Cancer Gene List v05/29/2026
FAT1	2195	FAT atypical cadherin 1	Tumour suppressor	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	7.6% (10/131)	—	—	PTCL (multiple subtypes)	Loss-of-function mutation	Hippo / Wnt pathway	Novel high-frequency PTCL driver (7.6%); cadherin-domain tumour suppressor	—	OncoKB Cancer Gene List v05/29/2026
ARID1A	8289	AT-rich interaction domain 1A	Chromatin remodelling	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	0.8% (1/131)	—	—	PTCL-NOS	Loss-of-function mutation	SWI/SNF complex	Pan-cancer tumour suppressor; SWI/SNF subunit	—	OncoKB Cancer Gene List v05/29/2026
ARID2	196528	AT-rich interaction domain 2	Chromatin remodelling	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.1% (4/131)	—	—	PTCL-NOS	Loss-of-function mutation	SWI/SNF complex (PBAF)	PBAF SWI/SNF subunit; tumour suppressor	—	OncoKB Cancer Gene List v05/29/2026
CD274	29126	CD274 molecule (PD-L1)	Immune evasion	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	0.8% (1/131)	—	—	ENKTL; ATLL; subset ALCL	Amplification / 3-UTR alteration / 9p24 gain	Immune checkpoint	Disables cytotoxic T-cell recognition; 9p24 amplification detectable by sWGS	Yoshida et al. Cancers 2021;13(8):1801; Front Oncol 2023;13:1202964	OncoKB Cancer Gene List v05/29/2026
CD58	965	CD58 molecule (LFA-3)	Immune evasion	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.0% (2/102)	—	—	ATLL; PTCL-NOS	Loss-of-function mutation	NK/T-cell immune recognition	Loss prevents NK and cytotoxic T-cell recognition	Yoshida et al. Cancers 2021;13(8):1801; Front Oncol 2023;13:1202964	OncoKB Cancer Gene List v05/29/2026
B2M	567	Beta-2-microglobulin	Immune evasion	Not detected in MSK MTNN 2022 dataset	Literature only (expected freq ~5%; below detection threshold in n=132 cohort)	—	—	—	PTCL-NOS; ATLL	Loss-of-function mutation / deletion	MHC class I antigen presentation	Loss prevents HLA class I expression; CD8 T-cell evasion	Palomero et al. Nat Genet 2014;46(2):166	OncoKB Cancer Gene List v05/29/2026
HLA-A	3105	Major histocompatibility complex class I A	Immune evasion	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.1% (4/131)	—	—	PTCL-NOS; ATLL	Loss-of-function mutation	MHC class I antigen presentation	Loss prevents CD8 T-cell recognition; analogous to B2M loss	—	OncoKB Cancer Gene List v05/29/2026
FAS	355	Fas cell surface death receptor (CD95)	Apoptosis / immune evasion	Identified from MSK MTNN 2022 - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	5.9% (6/102)	HOMDEL	10q23.31	PTCL-NOS; AITL	Loss-of-function mutation / deletion	FasL-mediated apoptosis / immune	CD95; loss prevents cytotoxic killing; immune evasion	—	OncoKB Cancer Gene List v05/29/2026
TNFAIP3	7128	TNF alpha induced protein 3 (A20)	Immune evasion / NF-kB	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.1% (4/131)	—	—	PTCL-NOS; ATLL	Loss-of-function mutation	NF-kB negative regulation	A20; loss constitutively activates NF-kB	—	OncoKB Cancer Gene List v05/29/2026
ALK	238	ALK receptor tyrosine kinase	Subtype-specific (ALK+ ALCL)	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/131)	—	—	ALK+ ALCL (~60-80% of ALCL)	Fusion (NPM1-ALK; t(2;5))	RTK / RAS-MAPK / JAK-STAT	Constitutively active kinase; best prognosis PTCL; targetable with crizotinib/alectinib	Morris et al. Science 1994;263(5151):1281; Duyster et al. Oncogene 2001	OncoKB Cancer Gene List v05/29/2026
DUSP22	56940	Dual specificity phosphatase 22	Subtype-specific (ALK- ALCL)	Not detected in MSK MTNN 2022 dataset	Literature only (rearrangement; not detectable by SNV pipeline)	—	—	—	ALK- ALCL (~30%)	Rearrangement / deletion (6p25.3)	MAPK pathway phosphatase	Favourable-prognosis ALK- ALCL subgroup; structural variant	Feldman et al. Blood 2011;117(24):6674	OncoKB Cancer Gene List v05/29/2026
TP63	8626	Tumor protein p63	Subtype-specific (ALK- ALCL)	Not detected in MSK MTNN 2022 dataset	Literature only (rearrangement; not detectable by SNV pipeline)	—	—	—	ALK- ALCL (~8%)	Rearrangement (3q28) — TP63 fusion	p53 family transcription factor	TBL1XR1-TP63 fusion; adverse prognosis ALK- ALCL	Vasmatzis et al. Blood 2012;120(11):2280	OncoKB Cancer Gene List v05/29/2026
PRKCB	5579	Protein kinase C beta	Subtype-specific (ATLL)	Not detected in MSK MTNN 2022 dataset	Literature only (ATLL-specific; cohort may lack ATLL patients)	—	—	—	ATLL (~33%)	Gain-of-function mutation	PKC-beta / TCR / NF-kB signalling	Second most common mutation in ATLL; ATLL-specific	Yoshida et al. Cancers 2021;13(8):1801	OncoKB Cancer Gene List v05/29/2026
CCR4	1233	C-C motif chemokine receptor 4	Subtype-specific (ATLL)	Not detected in MSK MTNN 2022 dataset	Literature only (ATLL-specific; cohort may lack ATLL patients)	—	—	—	ATLL (~25-30%)	Gain-of-function (truncating frameshift)	Chemokine receptor / PI3K-AKT	Mogamulizumab target; ATLL diagnostic marker	Yoshida et al. Cancers 2021;13(8):1801; Ishida et al. Cancer Sci 2012	NCBI Gene database
DDX3X	1654	DEAD-box helicase 3 X-linked	Subtype-specific (ENKTL)	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.9% (4/102)	—	—	ENKTL (~20%)	Loss-of-function mutation	RNA helicase / innate immune signalling	ENKTL-enriched driver	Jiang et al. Nat Genet 2015;47(9):1061	OncoKB Cancer Gene List v05/29/2026
MSN	4478	Moesin	Subtype-specific (ENKTL)	Not detected in MSK MTNN 2022 dataset	Literature only (ENKTL-specific; cohort may lack ENKTL patients)	—	—	—	ENKTL	Mutation / deletion	Cytoskeleton / ERM protein	NK-cell cytoskeletal signalling; ENKTL marker	Front Oncol 2023;13:1202964	OncoKB Cancer Gene List v05/29/2026
TBL1XR1	79718	TBL1X receptor 1	Signalling / oncogene	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.0% (2/102)	—	—	ALK- ALCL (TP63 fusion partner); PTCL-NOS	Mutation / rearrangement	WNT/beta-catenin / NF-kB	TBL1XR1-TP63 defines TP63+ ALK- ALCL subgroup; NF-kB co-activator	—	OncoKB Cancer Gene List v05/29/2026
NOTCH1	4851	Notch receptor 1	Signalling	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/132)	—	—	ALK+ and ALK- ALCL (~12%)	Activating mutation (EGF domain)	Notch signalling / T-cell development	T349 variant; gamma-secretase inhibitor target	Heavican et al. Leukemia 2019;33(12):2867; Sim et al. J Clin Oncol 2019	OncoKB Cancer Gene List v05/29/2026
NOTCH3	4854	Notch receptor 3	Signalling	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/131)	—	—	PTCL-NOS	Activating mutation	Notch signalling	NOTCH1 paralogue; overlapping biology	—	OncoKB Cancer Gene List v05/29/2026
NRAS	4893	NRAS proto-oncogene GTPase	RAS-MAPK signalling	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/132)	—	—	PTCL-NOS	Gain-of-function (Q61 hotspot)	RAS-MAPK / proliferation	Q61 hotspot activates ERK/MAPK; targetable upstream of MEK	—	OncoKB Cancer Gene List v05/29/2026
DTX1	1840	Deltex E3 ubiquitin ligase 1	Signalling	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.9% (3/102)	—	—	PTCL-NOS	Loss-of-function mutation	Notch pathway / T-cell differentiation	Notch signalling regulator; T-cell differentiation	—	OncoKB Cancer Gene List v05/29/2026
XPO1	7514	Exportin 1	Nuclear transport	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	1.5% (2/131)	—	—	PTCL-NOS	Gain-of-function (E571K hotspot)	Nuclear export	Targetable by selinexor; E571K hotspot	—	OncoKB Cancer Gene List v05/29/2026
MYC	4609	MYC proto-oncogene	Oncogene / CNA	Not detected in MSK MTNN 2022 dataset	Literature only (arm-level chr8q gain; not focal GISTIC peak — assess sWGS chr8q)	—	—	—	PTCL-NOS GATA3-subtype	Amplification / gain (8q24)	Transcription factor / cell proliferation	Master oncogene; 8q24 amp in aggressive PTCL	Heavican et al. Blood 2019;133(15):1664	OncoKB Cancer Gene List v05/29/2026
BCL2	596	BCL2 apoptosis regulator	Oncogene / CNA	Not detected in MSK MTNN 2022 dataset	Literature only (arm-level chr18q gain; not focal GISTIC peak — assess sWGS chr18q)	—	—	—	AITL; PTCL-NOS	Gain (18q21)	Anti-apoptotic / BCL2 family	Venetoclax target	Heavican et al. Blood 2019;133(15):1664	OncoKB Cancer Gene List v05/29/2026
